COST,351.9
PG,165.2
CL,89.3
PEP,123.6
KO,65.9
COKE,150.3
WMT,55.3
KHC,29.6
BROS,15
MNST,63.1
CELH,58.9
BRBR,54.1
PM,177.3
MO,46.2
WHR,54.2
SWK,71.2
GIS,55.5
SFM,253.1
TGT,86.5
TJX,110.3
ROST,111.1
BURL,154.7
ELF,41.9
EL,44.9
ULTA,722.3
FAST,26.6
HD,381.9
LOW,225.7
NKE,42.3
2020:HKSE,141.3
LULU,208.1
CROX,175.2
